genre,count,year
Drama,1,1916
War,1,1916
History,1,1916
Drama,1,1920
Crime,1,1920
Drama,1,1925
Romance,1,1925
War,1,1925
Drama,1,1927
Sci-Fi,1,1927
Drama,1,1929
Romance,2,1929
Musical,1,1929
Crime,1,1929
Drama,1,1930
War,1,1930
Drama,1,1932
Romance,1,1932
War,1,1932
Romance,2,1933
Drama,1,1933
Comedy,2,1933
Musical,2,1933
History,1,1933
Romance,1,1934
Comedy,1,1934
Romance,1,1935
Comedy,1,1935
Musical,1,1935
Romance,1,1936
Family,1,1936
Drama,1,1936
Adventure,1,1936
Action,1,1936
Comedy,1,1936
War,1,1936
Romance,1,1937
Family,1,1937
Drama,1,1937
Fantasy,1,1937
Animation,1,1937
Adventure,1,1937
Musical,1,1937
Drama,2,1938
Romance,2,1938
Comedy,1,1938
Musical,1,1938
Romance,1,1939
Family,1,1939
Musical,1,1939
Drama,2,1939
Fantasy,1,1939
Adventure,1,1939
Comedy,1,1939
War,1,1939
History,1,1939
Mystery,1,1940
Romance,1,1940
Family,3,1940
Film-Noir,1,1940
Drama,3,1940
Fantasy,3,1940
Animation,2,1940
Music,1,1940
Adventure,1,1940
Musical,1,1940
Thriller,1,1940
Western,1,1940
Drama,1,1941
Family,1,1941
Drama,2,1942
Romance,1,1942
Animation,1,1942
War,1,1942
Family,1,1942
Drama,1,1943
Fantasy,1,1943
Romance,1,1943
War,1,1943
Comedy,1,1944
Musical,1,1944
Mystery,1,1945
Drama,2,1945
Film-Noir,2,1945
Romance,2,1945
Musical,1,1945
Thriller,1,1945
Romance,3,1946
Family,1,1946
Drama,3,1946
Fantasy,1,1946
Western,1,1946
War,1,1946
Mystery,1,1947
Romance,2,1947
Film-Noir,1,1947
Crime,1,1947
Drama,3,1947
Adventure,1,1947
Thriller,1,1947
Drama,1,1948
Crime,1,1948
Romance,2,1948
Western,1,1948
Action,1,1948
Comedy,1,1948
Musical,1,1948
Adventure,2,1948
Action,1,1949
Drama,1,1949
Romance,1,1949
Western,1,1949
War,1,1949
Romance,1,1950
Comedy,1,1950
Musical,1,1950
Biography,1,1950
Western,1,1950
Romance,2,1951
Family,1,1951
Drama,3,1951
Musical,1,1951
Biography,1,1951
History,1,1951
Romance,2,1952
Family,1,1952
Film-Noir,1,1952
Crime,1,1952
Drama,2,1952
Western,1,1952
Comedy,1,1952
Musical,1,1952
Thriller,1,1952
Romance,1,1953
Sci-Fi,1,1953
Horror,1,1953
Film-Noir,1,1953
Crime,1,1953
Drama,2,1953
Adventure,1,1953
War,1,1953
Thriller,1,1953
History,1,1953
Romance,1,1954
Sci-Fi,2,1954
Family,2,1954
Crime,1,1954
Drama,5,1954
Fantasy,2,1954
Adventure,3,1954
Action,1,1954
History,1,1954
Mystery,1,1955
Romance,1,1955
Comedy,1,1955
Drama,1,1955
Fantasy,1,1955
Drama,3,1956
Romance,2,1956
Adventure,1,1956
Western,1,1956
Drama,2,1957
Crime,1,1957
Adventure,1,1957
War,1,1957
Drama,1,1958
Romance,1,1958
Romance,2,1959
Drama,2,1959
Music,1,1959
Comedy,1,1959
War,1,1959
History,1,1959
Mystery,1,1960
Romance,1,1960
Horror,1,1960
Drama,2,1960
Comedy,1,1960
Thriller,1,1960
Romance,2,1961
Sport,1,1961
Crime,1,1961
Drama,5,1961
War,1,1961
Western,1,1961
Comedy,1,1961
Musical,1,1961
Thriller,1,1961
Romance,2,1962
Sci-Fi,1,1962
Horror,1,1962
Thriller,1,1962
Crime,3,1962
Drama,6,1962
Western,1,1962
Adventure,2,1962
Action,2,1962
War,2,1962
Biography,1,1962
History,2,1962
Romance,2,1963
Thriller,2,1963
Crime,1,1963
Drama,4,1963
Adventure,6,1963
Action,3,1963
Comedy,3,1963
War,2,1963
Biography,1,1963
History,4,1963
Romance,2,1964
Family,2,1964
War,2,1964
Drama,5,1964
Fantasy,1,1964
Western,1,1964
Adventure,1,1964
Action,2,1964
Comedy,3,1964
Musical,3,1964
Thriller,2,1964
History,1,1964
Romance,3,1965
Comedy,1,1965
Family,2,1965
Thriller,1,1965
Musical,1,1965
Drama,5,1965
Western,1,1965
Animation,1,1965
Adventure,2,1965
Action,1,1965
Crime,1,1965
War,2,1965
Biography,2,1965
History,1,1965
Mystery,1,1966
Family,1,1966
Adventure,1,1966
Crime,1,1966
Drama,2,1966
Western,1,1966
Thriller,2,1966
Action,1,1966
Comedy,2,1966
Musical,1,1966
Biography,1,1966
History,1,1966
Mystery,1,1967
Horror,1,1967
Thriller,2,1967
Crime,2,1967
Drama,1,1967
Adventure,1,1967
Action,1,1967
Biography,1,1967
History,1,1967
Mystery,3,1968
Romance,1,1968
Sci-Fi,3,1968
Family,2,1968
Horror,3,1968
Drama,5,1968
Fantasy,1,1968
Adventure,2,1968
Comedy,2,1968
Musical,1,1968
Western,3,1968
Romance,3,1969
Biography,1,1969
Crime,3,1969
Drama,8,1969
Music,1,1969
Western,3,1969
Action,2,1969
Comedy,3,1969
Musical,2,1969
Thriller,3,1969
Adventure,2,1969
Romance,2,1970
Sci-Fi,1,1970
Adventure,1,1970
War,5,1970
Drama,9,1970
Music,2,1970
Western,1,1970
Action,4,1970
Comedy,5,1970
Documentary,1,1970
Musical,1,1970
Biography,1,1970
History,4,1970
Romance,1,1971
Sci-Fi,2,1971
Family,2,1971
Horror,1,1971
Crime,4,1971
Drama,5,1971
Fantasy,2,1971
Adventure,1,1971
Action,4,1971
Comedy,1,1971
Musical,2,1971
Thriller,6,1971
Mystery,1,1972
Sci-Fi,3,1972
Family,1,1972
Horror,1,1972
Crime,2,1972
Drama,5,1972
Action,1,1972
Comedy,2,1972
Musical,1,1972
Thriller,1,1972
History,1,1972
Mystery,1,1973
Romance,2,1973
Sci-Fi,2,1973
Biography,1,1973
Horror,1,1973
Crime,2,1973
Drama,4,1973
Music,1,1973
Adventure,1,1973
Action,2,1973
Comedy,3,1973
Thriller,2,1973
Western,2,1973
Mystery,1,1974
Romance,2,1974
Family,1,1974
Horror,2,1974
Crime,1,1974
Drama,3,1974
Adventure,2,1974
Action,1,1974
Comedy,3,1974
Thriller,4,1974
Western,1,1974
Mystery,1,1975
Sport,1,1975
Sci-Fi,1,1975
Crime,1,1975
Drama,3,1975
Fantasy,1,1975
Adventure,3,1975
Action,1,1975
Comedy,3,1975
War,1,1975
Thriller,1,1975
History,1,1975
Mystery,2,1976
Romance,3,1976
Sport,2,1976
Sci-Fi,1,1976
Family,1,1976
Horror,2,1976
Crime,1,1976
Drama,5,1976
Fantasy,2,1976
Adventure,2,1976
Action,1,1976
Comedy,3,1976
Thriller,1,1976
Romance,3,1977
Sci-Fi,7,1977
Horror,3,1977
Musical,1,1977
Drama,6,1977
Fantasy,2,1977
Music,1,1977
Adventure,4,1977
Action,3,1977
Comedy,3,1977
War,2,1977
Thriller,3,1977
History,1,1977
Romance,3,1978
Sci-Fi,1,1978
Family,1,1978
Horror,5,1978
War,2,1978
Drama,6,1978
